"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"144002"|"occupied"|"8"|"2019-01-31 15:52:02"|"2019-01-31 15:52:02"
"144003"|"free"|"8"|"2019-01-31 15:53:04"|"2019-01-31 15:53:04"
"144004"|"free"|"46"|"2019-01-31 15:54:06"|"2019-01-31 15:54:06"
"144006"|"free"|"62"|"2019-01-31 15:58:05"|"2019-01-31 15:58:05"
"144008"|"free"|"73"|"2019-01-31 15:59:06"|"2019-01-31 15:59:06"
"144010"|"free"|"78"|"2019-01-31 16:03:06"|"2019-01-31 16:03:06"
"144011"|"free"|"51"|"2019-01-31 16:08:03"|"2019-01-31 16:08:03"
"144012"|"free"|"17"|"2019-01-31 16:10:04"|"2019-01-31 16:10:04"
"144013"|"free"|"29"|"2019-01-31 16:19:05"|"2019-01-31 16:19:05"
"144014"|"free"|"19"|"2019-01-31 16:30:04"|"2019-01-31 16:30:04"
"144015"|"free"|"60"|"2019-01-31 16:30:05"|"2019-01-31 16:30:05"
"144016"|"free"|"5"|"2019-01-31 16:32:06"|"2019-01-31 16:32:06"
"144017"|"free"|"58"|"2019-01-31 16:32:06"|"2019-01-31 16:32:06"
"144018"|"occupied"|"5"|"2019-01-31 16:36:06"|"2019-01-31 16:36:06"
"144019"|"free"|"5"|"2019-01-31 16:37:05"|"2019-01-31 16:37:05"
"144020"|"free"|"49"|"2019-01-31 16:40:05"|"2019-01-31 16:40:05"
"144021"|"free"|"87"|"2019-01-31 16:43:07"|"2019-01-31 16:43:07"
"144022"|"free"|"59"|"2019-01-31 16:47:06"|"2019-01-31 16:47:06"
"144023"|"free"|"68"|"2019-01-31 16:47:07"|"2019-01-31 16:47:07"
"144024"|"free"|"44"|"2019-01-31 16:52:04"|"2019-01-31 16:52:04"
"144026"|"free"|"13"|"2019-01-31 17:00:06"|"2019-01-31 17:00:06"
"144027"|"free"|"10"|"2019-01-31 17:04:05"|"2019-01-31 17:04:05"
"144028"|"free"|"48"|"2019-01-31 17:10:06"|"2019-01-31 17:10:06"
"144029"|"free"|"69"|"2019-01-31 17:12:06"|"2019-01-31 17:12:06"
"144030"|"free"|"9"|"2019-01-31 17:18:04"|"2019-01-31 17:18:04"
"144031"|"free"|"89"|"2019-01-31 17:27:06"|"2019-01-31 17:27:06"
"144032"|"free"|"80"|"2019-01-31 17:28:07"|"2019-01-31 17:28:07"
"144033"|"free"|"3"|"2019-01-31 17:30:06"|"2019-01-31 17:30:06"
"144034"|"occupied"|"5"|"2019-01-31 17:36:07"|"2019-01-31 17:36:07"
"144035"|"free"|"11"|"2019-01-31 17:37:05"|"2019-01-31 17:37:05"
"144036"|"free"|"56"|"2019-01-31 17:46:06"|"2019-01-31 17:46:06"
"144037"|"free"|"65"|"2019-01-31 17:49:05"|"2019-01-31 17:49:05"
"144038"|"free"|"45"|"2019-01-31 18:00:06"|"2019-01-31 18:00:06"
"144039"|"free"|"38"|"2019-01-31 18:02:05"|"2019-01-31 18:02:05"
"144040"|"free"|"5"|"2019-01-31 18:12:06"|"2019-01-31 18:12:06"
"144041"|"occupied"|"68"|"2019-01-31 18:20:06"|"2019-01-31 18:20:06"
"144042"|"free"|"52"|"2019-01-31 18:28:07"|"2019-01-31 18:28:07"
"144043"|"free"|"53"|"2019-01-31 18:30:06"|"2019-01-31 18:30:06"
"144045"|"free"|"68"|"2019-01-31 18:53:06"|"2019-01-31 18:53:06"
"144047"|"occupied"|"45"|"2019-01-31 20:10:05"|"2019-01-31 20:10:05"
"144048"|"occupied"|"4"|"2019-01-31 21:00:07"|"2019-01-31 21:00:07"
"144049"|"free"|"45"|"2019-01-31 21:03:05"|"2019-01-31 21:03:05"
"144050"|"free"|"79"|"2019-01-31 22:31:06"|"2019-01-31 22:31:06"
"144051"|"free"|"4"|"2019-02-01 01:14:04"|"2019-02-01 01:14:04"
"144052"|"occupied"|"64"|"2019-02-01 05:10:07"|"2019-02-01 05:10:07"
"144053"|"occupied"|"67"|"2019-02-01 06:22:04"|"2019-02-01 06:22:04"
"144054"|"occupied"|"43"|"2019-02-01 06:39:04"|"2019-02-01 06:39:04"
"144055"|"occupied"|"60"|"2019-02-01 06:44:05"|"2019-02-01 06:44:05"
"144056"|"occupied"|"69"|"2019-02-01 06:48:06"|"2019-02-01 06:48:06"
"144057"|"occupied"|"10"|"2019-02-01 06:58:04"|"2019-02-01 06:58:04"
"144058"|"occupied"|"82"|"2019-02-01 06:58:05"|"2019-02-01 06:58:05"
"144059"|"occupied"|"72"|"2019-02-01 07:01:05"|"2019-02-01 07:01:05"
"144060"|"occupied"|"54"|"2019-02-01 07:06:04"|"2019-02-01 07:06:04"
"144061"|"occupied"|"84"|"2019-02-01 07:10:06"|"2019-02-01 07:10:06"
"144062"|"occupied"|"52"|"2019-02-01 07:14:05"|"2019-02-01 07:14:05"
"144063"|"occupied"|"11"|"2019-02-01 07:16:04"|"2019-02-01 07:16:04"
"144065"|"occupied"|"78"|"2019-02-01 07:23:06"|"2019-02-01 07:23:06"
"144066"|"occupied"|"12"|"2019-02-01 07:28:07"|"2019-02-01 07:28:07"
"144067"|"free"|"67"|"2019-02-01 07:31:06"|"2019-02-01 07:31:06"
"144068"|"occupied"|"65"|"2019-02-01 07:35:04"|"2019-02-01 07:35:04"
"144069"|"occupied"|"13"|"2019-02-01 07:36:05"|"2019-02-01 07:36:05"
"144070"|"occupied"|"44"|"2019-02-01 07:41:03"|"2019-02-01 07:41:03"
"144071"|"occupied"|"32"|"2019-02-01 07:44:02"|"2019-02-01 07:44:02"
"144072"|"occupied"|"76"|"2019-02-01 07:45:03"|"2019-02-01 07:45:03"
"144073"|"occupied"|"15"|"2019-02-01 07:46:08"|"2019-02-01 07:46:08"
"144074"|"occupied"|"92"|"2019-02-01 07:46:08"|"2019-02-01 07:46:08"
"144075"|"occupied"|"61"|"2019-02-01 07:47:06"|"2019-02-01 07:47:06"
